Model,Accuracy,Precision,Recall,F1-Score
Naive Bayes,0.6357314790050815,0.6412583517708661,0.6357314790050815,0.6228540045428332
SVM,0.6138004814121423,0.6176190222893541,0.6138004814121423,0.6141238313312302
Random Forest,0.5635196576624766,0.5575695073802643,0.5635196576624766,0.5569917300118687
